career_best_points,defence_touch_points,defending_bonus_points,empty_raid,green_cards,high_5s,location,match_played,name,not_out_percentage,player_id,player_team,player_team_arr,point,points_defence_offence,points_per_match_raid_tackle,raid_bonus_points,raid_map_locations,raid_points_per_match,raid_touch_points,raids,red_cards,role,series_id,series_name,success_raid_percent,success_raids,success_tackles,success_tackles_per_match,super_10s,super_raids,super_tackles,tackle_bonus_points,tackle_success_rate,tackles,total_capture_points,total_defending_points,total_raid_points,total_tackle_points,unsuccesful_tackles,unsuccess_raids,yellow_cards
16,14,2,86,3,0,,16,Anup Kumar,81.96,29,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}]",169,169,10.56,40,,9.68,115,255,0,,1,"Pro Kabaddi League Season 1, 2014",60.78,123,12,0.75,10,8,2,,40.0,35,,14,155,14,23,46,0
10,7,1,148,8,0,,14,Anup Kumar,85.65,29,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}]",81,81,5.78,7,,5.28,67,244,0,,2,"Pro Kabaddi League Season 2, 2015",30.32,61,6,0.42,1,1,1,,58.33,12,,7,74,7,6,35,0
9,3,0,121,1,0,,13,Anup Kumar,88.03,29,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",79,79,6.07,11,,5.84,65,209,0,,3,"Pro Kabaddi League Season 3, 2016",36.36,63,3,0.23,0,3,0,,33.33,9,,3,76,3,6,25,1
11,10,1,141,4,0,,14,Anup Kumar,87.39,29,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}]",82,82,5.85,19,,5.14,53,230,0,,4,"Pro Kabaddi League Season 4, 2016",31.3,60,9,0.64,0,1,1,,41.66,24,,10,72,10,15,29,1
11,23,4,153,6,0,,21,Anup Kumar,84.34,29,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",135,135,6.42,42,,5.33,70,281,0,,8,"Pro Kabaddi League Season 5, 2017",39.85,84,19,0.9,2,2,4,,38.33,60,,23,112,23,41,44,0
8,12,0,76,2,0,,13,Anup Kumar,83.46,29,0,"[{'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",50,50,3.84,14,,2.92,24,127,0,,26,"Pro Kabaddi League Season 6, 2018",29.92,30,12,0.92,0,2,0,,36.36,33,,12,38,12,21,21,0
16,69,8,725,24,0,,91,Anup Kumar,85.14,29,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}, {'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}, {'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}, {'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}, {'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}, {'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",596,596,6.54,133,,5.79,394,1346,0,,0,,39.15,421,61,0.67,13,17,8,,39.88,173,,69,527,69,112,200,2
23,10,1,76,2,0,,14,Rahul Chaudhari,82.15,81,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}]",161,161,11.5,18,,10.78,133,241,0,,1,"Pro Kabaddi League Season 1, 2014",62.65,122,9,0.64,8,2,1,,32.25,31,,10,151,10,22,43,0
14,9,0,77,3,0,,14,Rahul Chaudhari,83.06,81,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}]",107,107,7.64,7,,7.0,91,183,0,,2,"Pro Kabaddi League Season 2, 2015",53.55,75,9,0.64,5,6,0,,26.47,34,,9,98,9,25,31,0
17,12,2,89,1,0,,13,Rahul Chaudhari,79.8,81,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",99,99,7.61,11,,6.69,76,208,0,,3,"Pro Kabaddi League Season 3, 2016",41.82,77,10,0.76,4,1,2,,41.37,29,,12,87,12,19,42,1
18,4,1,170,0,0,,16,Rahul Chaudhari,86.15,81,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}]",150,150,9.37,18,,9.12,128,325,0,,4,"Pro Kabaddi League Season 4, 2016",44.92,110,3,0.18,7,6,1,,36.36,11,,4,146,4,8,45,0
17,9,0,175,1,0,,22,Rahul Chaudhari,81.06,81,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",193,193,8.77,31,,8.36,153,412,0,,8,"Pro Kabaddi League Season 5, 2017",44.66,159,9,0.4,8,5,0,,27.27,33,,9,184,9,24,78,0
18,7,1,127,2,0,,21,Rahul Chaudhari,75.14,81,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",166,166,7.9,38,,7.57,121,350,0,,26,"Pro Kabaddi League Season 6, 2018",45.42,136,6,0.28,4,4,1,,36.84,19,,7,159,7,13,87,0
14,8,0,103,1,0,,19,Rahul Chaudhari,72.62,81,0,"[{'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",125,125,6.57,29,,6.15,88,274,0,,49,"Pro Kabaddi League Season 7, 2019",42.7,96,8,0.42,4,0,0,,28.57,28,,8,117,8,20,75,0
