,total_points_scored_match_played,total_points_scored_rank,team_id,team_name,total_points_scored,total_points_conceded_match_played,total_points_conceded_rank,total_points_conceded,avg_points_scored_match_played,avg_points_scored_rank,avg_points_scored,successful_raids_match_played,successful_raids_rank,successful_raids,raid_points_match_played,raid_points_rank,raid_points,avg_raid_points_match_played,avg_raid_points_rank,avg_raid_points,successful_tackles_match_played,successful_tackles_rank,successful_tackles,tackle_points_match_played,tackle_points_rank,tackle_points,avg_tackle_points_match_played,avg_tackle_points_rank,avg_tackle_points,super_raid_match_played,super_raid_rank,super_raid,super_tackles_match_played,super_tackles_rank,super_tackles,do_or_die_raid_points_match_played,do_or_die_raid_points_rank,do_or_die_raid_points,all_outs_inflicted_match_played,all_outs_inflicted_rank,all_outs_inflicted,all_outs_conceded_match_played,all_outs_conceded_rank,all_outs_conceded,season,winner,away_points_conceded,away_points_scored,away_wins,draws,home_wins,is_qualified,lost,noresult,played,points,points_conceded,points_scored,position,score_diff,team_global_id,team_short_name,tied,trump_matches_won,wins
0,18,1,4,Bengal Warriors,636,18,7,551,18,1,30.55,18,1,299,18,1,374,18,1,20.78,18,4,166,18,6,176,18,9,9.78,18,1,15,18,10,12,18,8,51,18,1,29,18,11,15,7,0,0,0,0,3,0,True,4,0,18,68,85,68,2,85,0,Bengal,3,0,11
1,18,2,1,Bengaluru Bulls,601,18,4,594,18,3,29.94,18,2,283,18,2,360,18,2,20,18,9,154,18,5,178,18,8,9.89,18,4,7,18,2,25,18,11,35,18,7,18,18,3,22,7,0,0,0,0,1,0,False,8,0,18,53,10,53,5,10,0,Bengaluru,1,0,9
2,18,2,6,Patna Pirates,601,18,3,598,18,5,29.22,18,4,269,18,3,341,18,5,18.94,18,6,162,18,3,185,18,5,10.28,18,2,12,18,3,23,18,2,67,18,3,26,18,3,22,7,0,0,0,0,1,0,False,11,0,18,39,3,39,9,3,0,Patna,1,0,6
3,17,4,2,Dabang Delhi K.C.,589,17,11,518,17,4,29.29,17,3,281,17,4,340,17,2,20,17,10,149,17,11,155,17,11,9.12,17,4,7,17,12,7,17,10,42,17,2,27,17,12,12,7,0,0,0,0,2,0,True,2,0,17,72,68,72,1,68,0,Delhi,2,0,13
4,17,5,28,Haryana Steelers,582,17,6,552,17,2,30.11,17,5,259,17,5,336,17,4,19.76,17,5,165,17,6,176,17,4,10.35,17,2,12,17,11,11,17,5,60,17,4,25,17,8,19,7,0,0,0,0,1,0,False,5,0,17,59,30,59,3,30,0,Haryana,1,0,11
5,18,6,7,Puneri Paltan,578,18,1,620,18,6,28.83,18,6,254,18,7,308,18,7,17.11,18,1,189,18,1,211,18,1,11.72,18,8,6,18,4,22,18,5,60,18,8,17,18,1,27,7,0,0,0,0,3,0,False,9,0,18,42,-42,42,8,-42,0,Pune,3,0,6
6,18,7,3,Jaipur Pink Panthers,552,18,5,559,18,7,27.16,18,10,221,18,8,286,18,10,15.89,18,2,173,18,2,203,18,2,11.28,18,4,7,18,1,31,18,1,70,18,8,17,18,8,19,7,0,0,0,0,2,0,False,9,0,18,47,-7,47,7,-7,0,Jaipur,2,0,7
7,17,8,5,U Mumba,529,17,12,494,17,9,26.47,17,11,219,17,9,281,17,9,16.53,17,8,155,17,9,169,17,7,9.94,17,4,7,17,6,16,17,3,64,17,5,24,17,10,18,7,0,0,0,0,1,0,False,7,0,17,53,35,53,4,35,0,Mumbai,1,0,9
8,18,9,29,Tamil Thalaivas,525,18,2,609,18,11,26,18,7,248,18,6,313,18,6,17.39,18,11,144,18,11,155,18,12,8.61,18,10,4,18,9,13,18,8,51,18,11,13,18,2,26,7,0,0,0,0,3,0,False,12,0,18,30,-84,30,12,-84,0,Tamil Nadu,3,0,3
9,18,10,31,Gujarat Fortunegiants,518,18,9,532,18,12,24.94,18,9,226,18,10,275,18,12,15.28,18,7,160,18,8,174,18,10,9.67,18,10,4,18,7,15,18,7,52,18,8,17,18,5,21,7,0,0,0,0,2,0,False,11,0,18,39,-14,39,10,-14,0,Gujarat,2,0,5
10,17,11,30,U.P. Yoddha,514,17,8,540,17,10,26.41,17,12,208,17,12,269,17,11,15.82,17,3,167,17,4,180,17,3,10.59,17,10,4,17,8,14,17,3,64,17,6,20,17,5,21,7,0,0,0,0,2,0,False,6,0,17,53,-26,53,6,-26,0,UP,2,0,9
11,16,12,8,Telugu Titans,474,16,9,532,16,8,27.06,16,8,228,16,11,270,16,8,16.88,16,12,143,16,10,163,16,6,10.19,16,9,5,16,5,21,16,11,35,16,12,9,16,7,20,7,0,0,0,0,3,0,False,9,0,16,33,-58,33,11,-58,0,Hyderabad,3,0,4
12,24,1,1,Bengaluru Bulls,887,24,7,766,24,2,32.37,24,1,431,24,1,547,24,1,22.79,24,4,219,24,5,230,24,7,9.58,24,1,20,24,12,12,24,7,73,24,2,37,24,9,24,6,1,0,0,0,2,0,True,7,0,22,78,104,78,1,104,0,Bengaluru,2,0,13
13,25,2,31,Gujarat Fortunegiants,876,25,6,769,25,4,30.16,25,4,392,25,4,480,25,6,19.2,25,2,258,25,2,274,25,2,10.96,25,8,10,25,6,18,25,6,74,25,3,36,25,11,20,6,0,0,0,0,2,0,True,3,0,22,93,117,93,1,117,0,Gujarat,2,0,17
14,23,3,5,U Mumba,856,23,12,672,23,1,32.52,23,5,372,23,5,459,23,5,19.96,23,1,274,23,1,289,23,1,12.57,23,3,15,23,9,15,23,1,89,23,1,41,23,12,16,6,0,0,0,0,2,0,True,5,0,22,86,189,86,2,189,0,Mumbai,2,0,15
15,24,4,2,Dabang Delhi K.C.,822,24,3,824,24,5,29.12,24,3,401,24,3,483,24,4,20.13,24,7,198,24,8,216,24,9,9,24,4,13,24,5,19,24,7,73,24,4,34,24,6,28,6,0,0,0,0,2,0,True,9,0,22,68,-1,68,3,-1,0,Delhi,2,0,11
16,25,5,30,U.P. Yoddha,812,25,1,847,25,8,28.56,25,7,357,25,6,449,25,10,17.96,25,3,240,25,3,265,25,3,10.6,25,8,10,25,3,27,25,2,86,25,6,26,25,3,30,6,0,0,0,0,4,0,True,10,0,22,57,-45,57,3,-45,0,UP,4,0,8
17,22,6,6,Patna Pirates,799,22,2,835,22,3,31.68,22,2,406,22,2,496,22,2,22.55,22,9,186,22,9,201,22,8,9.14,22,7,11,22,7,16,22,11,54,22,5,30,22,3,30,6,0,0,0,0,2,0,False,11,0,22,55,-36,55,4,-36,0,Patna,2,0,9
18,23,7,4,Bengal Warriors,725,23,9,734,23,9,27.65,23,9,340,23,8,436,23,8,18.96,23,9,186,23,10,200,23,11,8.7,23,2,16,23,7,16,23,3,85,23,7,23,23,10,23,6,0,0,0,0,2,0,True,8,0,22,69,2,69,2,2,0,Bengal,2,0,12
19,22,8,28,Haryana Steelers,715,22,4,806,22,6,29.09,22,6,361,22,7,447,22,3,20.32,22,11,180,22,11,193,22,10,8.77,22,6,12,22,9,15,22,12,45,22,11,16,22,1,33,6,0,0,0,0,2,0,False,14,0,22,42,-91,42,6,-91,0,Haryana,2,0,6
20,22,9,3,Jaipur Pink Panthers,711,22,5,780,22,6,29.09,22,10,334,22,10,415,22,9,18.86,22,5,202,22,6,225,22,5,10.23,22,4,13,22,4,25,22,5,75,22,8,22,22,2,32,6,0,0,0,0,3,0,False,13,0,22,43,-69,43,5,-69,0,Jaipur,3,0,6
21,22,10,29,Tamil Thalaivas,671,22,8,741,22,10,27.63,22,8,344,22,9,419,22,7,19.05,22,12,174,22,12,189,22,12,8.59,22,11,7,22,9,15,22,10,67,22,9,20,22,7,27,6,0,0,0,0,4,0,False,13,0,22,42,-70,42,6,-70,0,Tamil Nadu,4,0,5
22,22,11,7,Puneri Paltan,649,22,11,694,22,12,25.68,22,12,286,22,12,346,22,12,15.73,22,8,189,22,7,219,22,6,9.95,22,11,7,22,1,34,22,9,71,22,12,14,22,5,29,6,0,0,0,0,2,0,False,12,0,22,52,-45,52,4,-45,0,Pune,2,0,8
23,22,12,8,Telugu Titans,647,22,10,702,22,11,26.63,22,11,289,22,11,353,22,11,16.05,22,5,202,22,4,233,22,4,10.59,22,10,9,22,2,33,22,3,85,22,10,18,22,8,25,6,0,0,0,0,1,0,False,13,0,22,51,-55,51,5,-55,0,Hyderabad,1,0,8
24,26,1,6,Patna Pirates,1050,26,1,921,26,1,34.19,26,1,487,26,1,637,26,1,24.5,26,3,226,26,3,252,26,4,9.69,26,1,26,26,1,27,26,4,95,26,1,55,26,5,29,5,1,0,0,0,5,0,True,7,0,22,71,60,71,2,60,0,Patna,5,0,10
25,24,2,31,Gujarat Fortunegiants,775,24,12,641,24,6,27.45,24,6,335,24,6,405,24,9,16.88,24,2,242,24,2,254,24,2,10.58,24,6,11,24,9,12,24,3,98,24,2,36,24,12,17,5,0,0,0,0,3,0,True,4,0,22,87,126,87,1,126,0,Gujarat,3,0,15
26,24,3,7,Puneri Paltan,766,24,10,683,24,8,27.08,24,10,304,24,10,379,24,11,15.79,24,1,252,24,1,271,24,1,11.29,24,4,12,24,3,21,24,1,119,24,3,32,24,10,23,5,0,0,0,0,0,0,True,7,0,22,80,91,80,2,91,0,Pune,0,0,15
27,23,4,30,U.P. Yoddha,762,23,2,763,23,2,28.78,23,3,358,23,2,461,23,2,20.04,23,8,183,23,7,201,23,9,8.74,23,2,23,23,5,19,23,10,83,23,8,23,23,3,32,5,0,0,0,0,4,0,True,10,0,22,60,2,60,3,2,0,UP,4,0,8
28,24,5,4,Bengal Warriors,749,24,3,757,24,9,27,24,2,379,24,3,455,24,4,18.96,24,9,181,24,10,193,24,10,8.04,24,6,11,24,9,12,24,9,87,24,5,27,24,5,29,5,0,0,0,0,6,0,True,5,0,22,77,19,77,1,19,0,Bengal,6,0,11
29,23,6,28,Haryana Steelers,727,23,7,726,23,7,27.43,23,8,327,23,7,404,23,8,17.57,23,4,206,23,4,227,23,3,9.87,23,4,12,23,3,21,23,2,105,23,5,27,23,10,23,5,0,0,0,0,4,0,True,5,0,22,79,40,79,3,40,0,Haryana,4,0,13
30,22,7,5,U Mumba,707,22,3,757,22,3,28.22,22,9,322,22,4,419,22,3,19.05,22,10,176,22,6,202,22,6,9.18,22,8,10,22,2,26,22,12,78,22,10,21,22,1,36,5,0,0,0,0,0,0,False,12,0,22,56,-50,56,4,-50,0,Mumbai,0,0,10
31,22,8,8,Telugu Titans,696,22,9,698,22,5,27.59,22,7,332,22,8,400,22,6,18.18,22,5,191,22,5,207,22,5,9.41,22,8,10,22,6,17,22,8,88,22,7,25,22,8,26,5,0,0,0,0,3,0,False,12,0,22,52,-2,52,5,-2,0,Hyderabad,3,0,7
32,22,9,1,Bengaluru Bulls,689,22,11,679,22,10,26.95,22,5,336,22,9,393,22,7,17.86,22,6,185,22,9,200,22,8,9.09,22,11,5,22,6,17,22,6,93,22,4,28,22,9,25,5,0,0,0,0,3,0,False,11,0,22,57,10,57,4,10,0,Bengaluru,3,0,8
33,22,10,29,Tamil Thalaivas,681,22,5,752,22,4,27.77,22,4,351,22,5,410,22,5,18.64,22,7,184,22,7,201,22,7,9.14,22,11,5,22,6,17,22,7,89,22,11,19,22,4,31,5,0,0,0,0,2,0,False,14,0,22,46,-71,46,6,-71,0,Tamil Nadu,2,0,6
34,22,11,3,Jaipur Pink Panthers,631,22,8,723,22,11,23.81,22,11,288,22,11,353,22,10,16.05,22,11,162,22,11,171,22,11,7.77,22,3,13,22,12,10,22,10,83,22,9,22,22,7,27,5,0,0,0,0,1,0,False,13,0,22,51,-91,51,5,-91,0,Jaipur,1,0,8
35,22,12,2,Dabang Delhi K.C.,598,22,6,731,22,12,23.31,22,12,283,22,12,344,22,12,15.64,22,12,159,22,12,169,22,12,7.68,22,10,6,22,9,12,22,5,94,22,12,18,22,2,35,5,0,0,0,0,1,0,False,16,0,22,38,-134,38,6,-134,0,Delhi,1,0,5
36,16,1,7,Puneri Paltan,515,16,1,491,16,1,27.25,16,1,230,16,1,290,16,1,18.13,16,3,140,16,3,146,16,4,9.13,16,2,10,16,7,7,16,3,77,16,2,21,16,3,17,4,0,0,0,0,2,0,False,6,0,14,42,23,42,4,23,0,Pune,2,0,6
37,16,2,8,Telugu Titans,506,16,3,454,16,3,26.81,16,2,206,16,3,267,16,3,16.69,16,1,157,16,2,162,16,2,10.13,16,3,7,16,8,5,16,4,76,16,1,22,16,7,13,4,0,0,0,0,2,0,False,4,0,14,50,67,50,2,67,0,Hyderabad,2,0,8
38,16,3,6,Patna Pirates,492,16,2,466,16,2,27.18,16,2,206,16,4,264,16,4,16.5,16,2,145,16,1,171,16,1,10.69,16,3,7,16,1,27,16,5,73,16,3,19,16,8,12,4,1,0,0,0,0,0,False,4,0,14,52,14,52,1,14,0,Patna,0,0,10
39,16,4,3,Jaipur Pink Panthers,475,16,4,450,16,5,25.31,16,4,203,16,2,270,16,2,16.88,16,4,119,16,4,135,16,8,8.44,16,5,6,16,3,17,16,2,80,16,4,17,16,6,14,4,0,0,0,0,1,0,False,5,0,14,47,22,47,3,22,0,Jaipur,1,0,8
